id,szerokosc_geo,dlugosc_geo,metry_na_mapach,metry_z_algorytmu,offset_m,zaliczone_jako_poprawne
1,"54,3746561814503","18,615638727902",140,114,16,1
2,"54,379025968371","18,6101228376989",180,166,16,1
3,"54,3803480113579","18,6085150824902",130,115,9,1
4,"54,3816606218818","18,6101183603945",25,26,1,1
5,"54,3834158114111","18,5845911178232",150,122,8,1
6,"54,3914994378644","18,5906167957671",280,260,1,1
7,"54,3770781404011","18,560833769492",370,350,10,1
8,"54,3774486161234","18,5927014047157",350,366,21,1
9,"54,3758745030438","18,5913454906823",550,540,15,1
10,"54,3765764587871","18,6015251506055",150,260,15,0
11,"54,3696299745855","18,6072920703179",270,60,15,0
12,"54,3720493129198","18,6112518718353",230,240,3,1
13,"54,3327728","18,5633879",240,215,10,1
14,"54,35035155","18,6558259",63,58,2,1
15,"54,3401019","18,6542044",160,167,2,1
16,"54,3478991833479","18,6591784290076",70,70,10,1
17,"54,3556557345352","18,6559774919066",170,190,12,1
18,"54,3571597490325","18,665041979035",300,420,20,0
19,"54,3593778827253","18,6654668867646",300,310,20,1
20,"54,3588625166971","18,6868126551262",270,250,8,1
21,"54,3609500044618","18,6791897507498",600,560,20,1
22,"54,3652853183113","18,7066422606529",350,350,5,1
23,"54,365753175067","18,7111860964496",450,430,32,1
24,"54,3599012071203","18,7230224632538",22,30,26,1
25,"54,3600668614846","18,7256423789075",240,217,16,1
26,"54,3599961274182","18,7307066139885",500,540,20,1
27,"54,4010050984458","18,6771904490798",290,270,20,1
28,"54,3951276233172","18,6736185405346",360,365,8,1
29,"54,4026250760289","18,6638278930077",250,236,10,1
30,"54,3844294892955","18,5674513761717",280,270,10,1
31,"54,3856771093618","18,5729058852642",180,168,7,1
32,"54,3873269679067","18,5642292470105",600,560,20,1
33,"54,4077742224681","18,6280561412931",290,276,6,1
34,"54,4092840493958","18,6319608911539",300,290,10,1
35,"54,4110223496535","18,6295005423345",450,437,26,1
36,"54,4049767820774","18,6444010251367",350,335,20,1
37,"54,4027711937131","18,6257017990718",240,225,15,1
38,"54,4038531175659","18,6246744045402",230,219,4,1
39,"54,4056426191522","18,6236753252058",290,310,14,1
40,"54,405864791957","18,6262059586047",160,159,7,1
41,"54,3384276632318","18,6784966800737",300,289,8,1
42,"54,3352957311162","18,6780198540962",350,342,6,1
43,"54,3418695731393","18,677965868944",140,136,9,1
44,"54,3433368521977","18,680051511248",230,225,6,1
45,"54,322616614031","18,642377715315",550,534,11,1
46,"54,3217819213774","18,6386373857152",250,244,9,1
47,"54,3214043896765","18,6193345754181",400,389,19,1
48,"54,3215818051032","18,6150937791926",290,267,17,1
49,"54,3230969301454","18,6178356203292",110,107,7,1
50,"54,3213459611961","18,6082911730909",400,386,12,1
51,"54,3219164357813","18,6096353397102",400,391,18,1
52,"54,323388324664","18,6070375847581",290,278,12,1
53,"54,3295218391114","18,5773790409194",300,295,21,1
54,"54,3303921463651","18,5800362584619",170,157,11,1
55,"54,3345665687697","18,5823287613967",280,275,10,1
56,"54,3351589589107","18,5869708684665",550,521,12,1
57,"54,3802820866431","18,5579208620522",110,106,6,1
58,"54,3779842062811","18,5584736984127",280,276,5,1
59,"54,3787341995042","18,5664440536614",150,141,17,1
60,"54,3799789862149","18,565327222376",300,291,8,1
61,"54,3989625335095","18,6082463416332",350,303,6,0
62,"54,4030594679688","18,593413725936",60,59,3,1
63,"54,4046761173369","18,5788249300249",220,214,7,1
64,"54,4125166970146","18,5953023812511",230,209,8,1
65,"54,4073278240423","18,5995295342057",290,298,25,1
66,"54,4053511621496","18,5829736660945",350,340,7,1
67,"54,4114880909472","18,582986444071",180,182,2,1
68,"54,4226827989844","18,5700128161916",240,232,2,1
69,"54,4240257229573","18,5825294855277",260,235,5,1
70,"54,4309329995324","18,5866706821836",350,371,1,1
71,"54,4187329593556","18,5672600957188",190,170,10,1
72,"54,411639820003","18,5784824567924",130,125,7,1
73,"54,4075357140831","18,5784562331156",190,187,5,1
74,"54,4086751831152","18,5849243644367",280,250,16,1
75,"54,4040416843365","18,5865980627294",130,114,8,1
76,"54,3481183623898","18,6155333742046",280,263,13,1
77,"54,3482475339425","18,615590371237",210,222,8,1
78,"54,3437114120539","18,6230836527636",140,160,3,1
79,"54,341172590215","18,6259093599559",86,90,7,1
80,"54,3448843254508","18,643225692904",247,250,8,1
81,"54,3409712789002","18,6591092124072",200,236,4,0
82,"54,3462460175156","18,665187097994",94,100,15,1
83,"54,3506639526446","18,6715922129888",230,211,2,1
84,"54,3458550508343","18,6474684250278",250,249,5,1
85,"54,3744037346915","18,6090189590776",300,279,12,1
86,"54,3738568538809","18,6116099728803",170,194,7,1
87,"54,3741099571069","18,6181545628534",210,201,2,1
88,"54,3694221414846","18,61015618211",100,115,26,1
89,"54,3672491125155","18,6134932189801",535,500,17,1
90,"54,3646928733868","18,6304115838198",350,333,6,1
91,"54,3628214223254","18,6458956846866",110,105,2,1
92,"54,3582576019541","18,6493879205623",260,200,27,0
93,"54,3814280434992","18,5998592152791",14,11,5,1
94,"54,3836311014787","18,5895777883868",93,81,4,1
95,"54,3889694459345","18,5850073038854",400,389,9,1
96,"54,3922332492626","18,571612351844",240,227,3,1
97,"54,4134537739932","18,5659046102976",450,422,20,1
98,"54,4101943428349","18,5790259765396",300,311,19,1
99,"54,4094377966586","18,5856111832416",120,119,7,1
100,"54,4128170384368","18,5894869749802",190,164,3,0
,,,,,,"0,93"
