category,n_sources,n_within,median_dist_m,median_time_s,limit_m
bakery,12,13851,466.4178771972656,419.8180847167969,1000.0
bus_stop,234,32884,295.61297607421875,266.0782775878906,1000.0
clinic_hospital,1,4226,514.0975341796875,462.73406982421875,1000.0
convenience,62,22768,287.35028076171875,258.64111328125,1000.0
fitness_centre,1,1527,634.6639404296875,571.2546997070312,1000.0
kinder_childcare,10,15714,469.9562683105469,423.0029602050781,1000.0
library,4,6815,407.8370056152344,367.09002685546875,1000.0
parcel_locker,28,19440,419.7628479003906,377.8243713378906,1000.0
park,22,19567,365.1209716796875,328.6417541503906,1000.0
pet_shop,1,2161,424.4901123046875,382.0793151855469,1000.0
pharmacy,14,15663,413.30572509765625,372.0123596191406,1000.0
playground,88,24823,270.0931701660156,243.10816955566406,1000.0
pub,2,5188,637.1427612304688,573.48583984375,1000.0
rail_station,3,652,547.768798828125,493.041259765625,1000.0
school,19,21031,483.3445129394531,435.0535888671875,1000.0
supermarket,13,16584,421.8848876953125,379.734375,1000.0
tram_stop,17,9726,430.5340576171875,387.5194091796875,1000.0
university,6,9086,564.4768676757812,508.08001708984375,1000.0
veterinary,3,8437,588.5919189453125,529.7857055664062,1000.0
